??afficher les mesures, 2 pour acquisition avant, 3 pour acquisition arriere: 
Tapez  1 pour afficher les mesures, 2 pour acquisition avant, 3 pour acquisition arriere: 
Acquisition ... fait 
Tapez  1 pour afficher les mesures, 2 pour acquisition avant, 3 pour acquisition arriere: 
Mesures en acceleration 
Courant;Position;Vitesse 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;1587;2064 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
Tapez  1 pour afficher les mesures, 2 pour acquisition avant, 3 pour acquisition arriere: 
Acquisition ... fait 
Tapez  1 pour afficher les mesures, 2 pour acquisition avant, 3 pour acquisition arriere: 
Mesures en acceleration 
Courant;Position;Vitesse 
0;1587;65535 
0;1587;65535 
2884;1587;65535 
2675;1587;65535 
2420;1586;28653 
3077;1586;28653 
2748;1586;28653 
2894;1586;28653 
2938;1585;28653 
2868;1585;28653 
2840;1585;28653 
2840;1584;28653 
2840;1584;28653 
2840;1584;28653 
2840;1584;28653 
2305;1583;28653 
2541;1583;28653 
2621;1583;28653 
2762;1582;1658 
2550;1581;1658 
2415;1580;1658 
2390;1580;1658 
2503;1580;1658 
2279;1579;1658 
2279;1579;1658 
2279;1578;883 
2749;1577;883 
2336;1576;883 
2188;1576;883 
2262;1576;883 
2220;1575;883 
2220;1574;725 
2220;1573;725 
1779;1572;725 
2084;1572;725 
2293;1571;725 
1939;1571;725 
2220;1570;721 
1953;1569;721 
2444;1568;721 
2237;1568;721 
2061;1568;721 
2061;1567;721 
2061;1566;771 
2061;1565;771 
2061;1565;771 
2061;1564;771 
2129;1564;771 
2063;1563;771 
2099;1563;771 
2344;1562;791 
1910;1561;791 
2257;1560;791 
2011;1560;791 
1972;1560;791 
1838;1559;791 
1838;1558;750 
1838;1557;750 
1838;1556;750 
2399;1556;750 
2091;1556;750 
2300;1555;750 
2330;1554;665 
2036;1553;665 
2018;1552;665 
2105;1552;665 
2016;1551;665 
1988;1550;618 
2192;1549;618 
2192;1548;618 
2192;1548;618 
2045;1547;618 
1941;1546;610 
2131;1545;610 
2025;1544;610 
2025;1544;610 
2025;1543;610 
2025;1542;601 
2160;1541;601 
1902;1540;601 
1716;1540;601 
2020;1539;601 
2321;1537;579 
2281;1537;579 
2229;1536;579 
1960;1535;579 
2042;1534;538 
2042;1533;538 
2042;1532;538 
2042;1532;538 
2042;1531;538 
2042;1529;516 
2164;1528;516 
2256;1528;516 
2249;1527;516 
2041;1526;515 
2071;1524;515 
1965;1524;515 
1409;1523;515 
1982;1522;504 
2055;1521;504 
2055;1520;504 
2055;1519;504 
2055;1518;492 
2269;1517;492 
2122;1516;492 
2036;1515;492 
2068;1514;469 
1943;1513;469 
1943;1512;469 
2178;1511;469 
1889;1509;451 
2131;1508;451 
2107;1508;451 
2107;1507;451 
1845;1505;444 
1868;1504;444 
1585;1503;444 
1851;1502;434 
1851;1501;434 
1851;1500;434 
1851;1499;434 
1851;1497;436 
1709;1496;436 
1860;1496;436 
2114;1494;423 
1755;1493;423 
1960;1492;423 
2060;1491;423 
1847;1489;413 
1988;1488;413 
1782;1487;413 
1782;1486;410 
1782;1484;410 
1782;1484;410 
1782;1483;410 
1782;1481;397 
1940;1480;397 
1813;1479;397 
1838;1477;395 
1923;1476;395 
1876;1475;395 
1908;1474;385 
1568;1472;385 
1932;1471;385 
1849;1470;379 
1849;1468;379 
1849;1468;379 
2321;1466;376 
2031;1464;376 
1654;1464;376 
2122;1462;369 
2161;1461;369 
2161;1460;369 
2161;1459;369 
2078;1457;370 
2132;1456;370 
2050;1455;370 
1557;1453;362 
2066;1452;362 
1893;1451;362 
1822;1449;357 
1977;1448;357 
1892;1447;357 
1892;1445;357 
1892;1444;357 
1892;1442;348 
1892;1440;348 
1596;1440;348 
1803;1438;351 
2058;1436;351 
1927;1436;351 
1890;1434;344 
1562;1432;344 
1911;1431;344 
1538;1429;341 
1955;1428;341 
1955;1427;341 
1955;1425;339 
1955;1424;339 
1955;1423;339 
1955;1421;333 
2071;1420;333 
1898;1418;336 
2107;1416;336 
1969;1416;336 
1768;1414;333 
1596;1412;333 
1865;1411;333 
1557;1409;331 
1846;1408;331 
1846;1407;331 
2107;1405;330 
1712;1404;330 
1622;1402;323 
1983;1400;323 
1742;1399;323 
1850;1398;326 
1850;1396;326 
1850;1395;326 
1437;1393;323 
1590;1392;323 
1747;1391;323 
1647;1388;320 
1851;1388;320 
1562;1386;318 
1726;1384;318 
1472;1383;318 
1448;1381;313 
1448;1380;313 
1448;1378;317 
1448;1376;317 
1448;1375;317 
1686;1373;314 
1601;1372;314 
1951;1371;314 
1690;1369;311 
1913;1368;311 
1553;1366;312 
1714;1364;312 
1487;1363;312 
1507;1361;306 
1507;1360;306 
1507;1358;312 
1507;1356;312 
1507;1355;312 
1625;1353;308 
1561;1352;308 
1747;1351;308 
1891;1348;306 
1812;1347;306 
1559;1345;306 
1658;1344;306 
1729;1343;306 
1552;1340;301 
1547;1339;301 
1893;1337;305 
1801;1336;305 
1668;1335;305 
1118;1333;302 
1713;1332;302 
1620;1330;300 
1620;1328;300 
1620;1327;300 
1620;1324;299 
1358;1323;299 
1647;1321;293 
1705;1320;293 
1699;1319;293 
1697;1316;298 
1443;1315;298 
1569;1313;296 
1536;1312;296 
1573;1311;296 
1573;1308;295 
1573;1307;295 
1573;1305;294 
1573;1304;294 
1711;1302;291 
1586;1300;291 
1630;1299;291 
1689;1297;295 
1625;1296;295 
1332;1294;291 
1461;1292;291 
1807;1291;291 
1485;1289;291 
1485;1288;291 
1485;1285;290 
1485;1284;290 
1819;1283;290 
1823;1280;285 
1683;1279;285 
1635;1277;288 
1659;1276;288 
1659;1274;285 
1424;1272;285 
1759;1271;285 
1380;1268;284 
1473;1267;284 
1444;1265;284 
1609;1264;284 
1545;1262;280 
1626;1260;280 
1463;1259;280 
1981;1257;285 
1981;1256;285 
1981;1253;282 
1981;1252;282 
1981;1250;281 
1813;1248;281 
1721;1247;281 
1701;1245;281 
1282;1243;281 
1239;1241;277 
1606;1240;277 
1524;1238;280 
1572;1236;280 
1720;1235;280 
1720;1233;278 
1720;1231;278 
1720;1229;277 
1720;1228;277 
1282;1226;277 
1756;1224;277 
1647;1223;277 
1659;1220;272 
1629;1219;272 
1484;1217;276 
1506;1216;276 
1441;1214;274 
1283;1212;274 
1283;1210;273 
1283;1208;273 
2188;1207;273 
1811;1205;273 
1085;1203;273 
1582;1201;270 
1854;1200;270 
1854;1198;272 
1854;1196;272 
1780;1195;272 
1289;1192;271 
1877;1191;271 
1707;1189;268 
1623;1187;268 
1384;1185;270 
1277;1184;270 
1494;1182;265 
1473;1180;265 
1473;1178;268 
1473;1176;268 
1473;1175;268 
1473;1172;265 
1473;1171;265 
1613;1169;265 
1828;1168;265 
1560;1165;266 
1177;1164;266 
1077;1162;262 
1474;1160;262 
1457;1159;262 
1562;1156;266 
1588;1155;266 
1588;1153;265 
1588;1151;265 
1588;1149;264 
2165;1148;264 
1481;1145;265 
1647;1144;265 
1636;1142;261 
1705;1140;261 
1597;1139;261 
1516;1136;264 
1536;1135;264 
1113;1133;264 
1523;1131;264 
1523;1129;263 
1523;1128;263 
1539;1125;265 
1411;1124;265 
1500;1122;259 
1621;1120;259 
1621;1118;264 
1621;1116;264 
1621;1115;264 
1327;1112;261 
1671;1111;261 
1693;1109;261 
1712;1107;261 
1530;1105;262 
1121;1104;262 
1341;1101;256 
1586;1100;256 
1494;1098;259 
1494;1096;259 
1494;1094;258 
1494;1092;258 
1494;1091;258 
1494;1088;257 
1625;1087;257 
1701;1084;257 
1145;1083;257 
1564;1081;253 
1459;1079;253 
1480;1077;257 
1455;1076;257 
1362;1073;257 
1058;1072;257 
1058;1070;256 
1058;1068;256 
1058;1066;257 
1693;1064;257 
1686;1063;257 
1538;1060;252 
1466;1059;252 
1629;1056;256 
1629;1055;256 
1105;1053;255 
1484;1051;255 
1485;1049;254 
1526;1048;254 
1526;1045;256 
1541;1044;256 
1314;1041;251 
1432;1040;251 
1359;1038;255 
1359;1036;255 
1359;1034;254 
1359;1032;254 
1359;1031;254 
1678;1028;254 
1360;1027;254 
1409;1024;255 
1429;1023;255 
1431;1020;251 
1377;1019;251 
1251;1017;256 
1506;1016;256 
1319;1013;256 
1319;1012;256 
1319;1009;255 
1319;1008;255 
1319;1006;256 
1319;1004;256 
1648;1002;252 
1479;1000;252 
1623;999;252 
1754;996;258 
1617;995;258 
1329;992;256 
1667;991;256 
1593;989;257 
1569;987;257 
1569;985;257 
1569;984;257 
1590;981;254 
1575;980;254 
1629;977;258 
1686;976;258 
1559;974;257 
1559;972;257 
1559;971;257 
1743;968;257 
1419;967;257 
1356;964;257 
1266;963;257 
1819;960;252 
1574;959;252 
1263;957;256 
1350;956;256 
1398;953;255 
1398;952;255 
1398;949;254 
1398;948;254 
1398;946;255 
1471;944;255 
1721;942;251 
1626;940;251 
1713;938;255 
1691;936;255 
1653;935;255 
1195;932;254 
1607;931;254 
1507;928;252 
1507;927;252 
1507;925;253 
1507;923;253 
1507;921;249 
1507;919;249 
1598;917;252 
1645;916;252 
1428;913;252 
1272;912;252 
1381;909;250 
1531;908;250 
1356;906;250 
1446;904;250 
1635;902;246 
1635;900;246 
1943;898;249 
1297;896;249 
1519;894;247 
1494;892;247 
1777;891;247 
1841;888;247 
1841;887;247 
1841;884;247 
1614;883;247 
1471;880;243 
1493;879;243 
1656;876;246 
1734;875;246 
1270;872;245 
1521;871;245 
1426;868;245 
1526;867;245 
1526;864;246 
1526;863;246 
1526;861;241 
1526;859;241 
1607;857;244 
1644;855;244 
1207;853;244 
1671;851;244 
1627;849;243 
1413;847;243 
1455;845;242 
1164;843;242 
1467;841;240 
1467;839;240 
1467;837;242 
1467;835;242 
1467;833;241 
1816;831;241 
1655;829;240 
1387;827;240 
1433;825;241 
1279;823;241 
1376;821;237 
1370;819;237 
1309;817;241 
1467;815;241 
1355;813;239 
1907;811;239 
1629;809;240 
1361;807;240 
1292;805;240 
1267;803;240 
1629;801;236 
1629;799;236 
1629;797;240 
1629;795;240 
1172;793;239 
1534;791;239 
1566;789;238 
1455;787;238 
1258;785;240 
1005;783;240 
1357;781;234 
1398;779;234 
1519;777;238 
1519;775;238 
1519;773;238 
1519;771;238 
1519;768;237 
1539;767;237 
1495;764;238 
1190;763;238 
1528;760;235 
1490;759;235 
1520;756;238 
1497;755;238 
1308;752;238 
1646;751;238 
1646;748;238 
1646;747;238 
1646;744;239 
1833;743;239 
1350;740;234 
1460;739;234 
1484;736;239 
1716;735;239 
1716;732;239 
1689;731;239 
1611;728;239 
1462;727;239 
1344;724;240 
1497;723;240 
1490;720;235 
1361;719;235 
1248;716;240 
1519;715;240 
1245;712;239 
1245;711;239 
1245;708;239 
1245;707;239 
1245;704;241 
1553;703;241 
1449;700;236 
1580;699;236 
1658;696;240 
1525;695;240 
1064;692;240 
1502;691;240 
1477;688;240 
1387;687;240 
1387;684;242 
1387;683;242 
1387;680;237 
1387;679;237 
1626;676;242 
1751;675;242 
1349;672;241 
1808;671;241 
1759;668;241 
1320;667;241 
1256;664;242 
1533;663;242 
1442;660;238 
1442;659;238 
1442;656;242 
2139;655;242 
1430;652;240 
1539;651;240 
1713;648;240 
1608;647;240 
1608;644;241 
1608;643;241 
1483;640;236 
1479;639;236 
1495;636;240 
1689;635;240 
1281;632;239 
1528;631;239 
1511;628;237 
1439;627;237 
1419;624;239 
1419;622;235 
1419;620;235 
1419;618;238 
1419;616;238 
1419;614;237 
1322;612;237 
1345;610;236 
1430;608;236 
1417;606;237 
1305;604;237 
1512;602;232 
1306;600;232 
1402;598;236 
1457;596;236 
1457;594;235 
1457;592;235 
1457;590;235 
1885;588;235 
1377;585;234 
1179;584;234 
1490;581;231 
1459;580;231 
186;577;235 
1391;576;235 
738;573;233 
1211;571;233 
1384;569;233 
1384;567;233 
1384;565;234 
844;563;234 
1143;561;230 
1271;559;230 
1685;556;234 
1685;555;234 
1685;552;233 
1685;551;233 
1526;548;232 
1554;547;232 
1438;544;235 
1511;543;235 
1448;540;229 
1393;538;234 
1064;536;234 
1319;534;232 
1388;532;232 
1388;530;232 
1388;528;232 
1388;526;233 
1388;524;233 
1388;521;229 
1508;520;229 
1510;517;232 
1504;516;232 
945;513;231 
1144;512;231 
1288;509;232 
1243;507;232 
1385;505;232 
637;503;232 
637;500;227 
637;499;227 
637;496;232 
1868;495;232 
978;492;230 
1695;491;230 
1695;488;230 
1695;487;230 
1695;484;230 
1288;482;228 
1333;480;228 
1453;478;230 
1412;476;230 
1241;474;230 
1226;472;230 
1186;469;231 
1549;468;231 
1304;465;230 
1304;463;230 
1304;461;227 
1304;459;227 
1304;457;230 
1304;455;230 
1203;453;229 
1584;451;229 
1434;448;231 
1436;447;231 
1247;444;230 
1435;443;230 
1381;440;227 
1529;438;230 
1147;436;230 
1147;434;231 
1147;432;231 
1147;430;231 
1700;428;231 
1440;425;231 
1316;424;231 
1439;421;227 
1541;420;227 
1541;417;232 
1509;416;232 
1253;413;232 
1319;411;232 
1536;409;232 
1536;407;232 
1682;405;232 
788;403;232 
1233;400;229 
1342;399;229 
1342;396;232 
1342;395;232 
1342;392;232 
1342;391;232 
1596;388;232 
1561;387;232 
1537;384;232 
1503;382;229 
1492;380;229 
1480;378;232 
1343;376;232 
1177;374;232 
1400;372;232 
1400;370;232 
1400;368;232 
1400;365;233 
1400;364;233 
1400;361;229 
1475;360;229 
1569;357;233 
1595;356;233 
1270;353;233 
1184;351;233 
1376;349;233 
1417;347;233 
1357;345;233 
835;343;233 
835;340;230 
835;339;230 
1689;336;234 
1442;335;234 
1340;332;233 
1707;331;233 
1601;328;232 
1601;327;232 
1601;324;233 
1424;322;230 
1437;320;230 
1580;318;233 
1314;316;233 
1641;314;232 
1538;312;232 
1062;310;231 
1333;308;231 
1250;305;232 
1250;304;232 
1250;301;228 
1250;300;228 
1250;297;232 
1502;296;232 
1311;293;231 
1381;291;231 
1472;289;230 
1644;287;230 
1439;284;230 
1199;283;230 
1300;280;228 
1277;279;228 
1277;276;231 
1277;275;231 
1277;272;230 
1277;270;229 
1277;268;229 
1381;266;231 
1426;264;231 
1505;262;226 
1523;260;226 
1324;257;230 
1282;256;230 
1147;253;229 
1152;252;229 
1381;249;228 
1381;247;228 
1720;245;229 
818;243;229 
1094;240;225 
1476;239;225 
1680;236;228 
1771;235;228 
1771;232;228 
1771;231;228 
1527;228;227 
1265;226;227 
1442;224;227 
1504;222;224 
1347;220;224 
1125;217;227 
1181;216;227 
966;213;226 
1172;211;226 
1172;209;226 
1172;207;226 
1172;204;227 
1172;203;227 
1245;200;224 
1456;199;224 
1378;196;227 
1577;194;226 
1449;192;226 
1213;190;227 
1394;188;227 
1111;185;226 
1209;184;226 
1209;181;224 
1209;180;224 
1209;177;227 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
 
 
Mesures en deceleration 
Courant;Position;Vitesse 
0;175;227 
0;173;226 
0;171;226 
0;169;233 
0;167;233 
0;165;240 
0;163;240 
0;161;244 
0;159;244 
0;157;255 
0;156;255 
0;154;263 
0;152;263 
0;150;271 
0;148;271 
0;147;271 
0;145;280 
0;144;280 
0;142;285 
0;140;285 
0;139;285 
0;137;299 
0;136;299 
0;134;309 
0;132;309 
0;131;309 
0;129;321 
0;128;321 
0;127;321 
0;125;334 
0;124;334 
0;123;334 
0;121;342 
0;120;342 
0;119;342 
0;117;360 
0;116;360 
0;115;360 
0;113;375 
0;112;375 
0;111;375 
0;109;393 
0;108;393 
0;108;393 
0;106;413 
0;105;413 
0;104;413 
0;103;413 
0;102;429 
0;100;429 
0;100;429 
0;99;429 
0;97;458 
0;96;458 
0;96;458 
0;95;458 
0;94;488 
0;92;488 
0;92;488 
0;91;488 
0;90;522 
0;89;522 
0;88;522 
0;88;522 
0;87;522 
0;86;566 
0;85;566 
0;84;566 
0;84;566 
0;83;566 
0;82;608 
0;81;608 
0;80;608 
0;80;608 
0;79;608 
0;79;608 
0;77;676 
0;77;676 
0;76;676 
0;76;676 
0;75;676 
0;75;676 
0;74;766 
0;73;766 
0;73;766 
0;72;766 
0;72;766 
0;72;766 
0;71;766 
0;70;878 
0;70;878 
0;69;878 
0;68;878 
0;68;878 
0;68;878 
0;68;878 
0;67;878 
0;67;878 
0;66;1052 
0;66;1052 
0;65;1052 
0;65;1052 
0;64;1052 
0;64;1052 
0;64;1052 
0;64;1052 
0;63;1052 
0;63;1052 
0;63;1052 
0;62;1328 
0;62;1328 
0;61;1328 
0;61;1328 
0;61;1328 
0;60;1328 
0;60;1328 
0;60;1328 
0;60;1328 
0;60;1328 
0;60;1328 
0;60;1328 
0;59;1328 
0;59;1328 
0;59;1328 
0;59;1328 
0;59;1328 
0;59;1328 
0;58;2088 
0;58;2088 
0;58;2088 
0;58;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
0;57;2088 
